time,msl,t2m,u10,v10,h700,tcc
1993-02-01,101243.336,294.6615,2.40585,1.3343018,3141.1465,0.10783593
1993-03-01,101276.93,293.82776,2.1909006,1.4962387,3146.045,0.11588532
1993-04-01,101253.94,292.7152,1.4526445,1.555373,3139.8855,0.13214621
1993-05-01,101449.13,290.35452,0.714653,1.9270091,3138.482,0.09313437
1993-06-01,101438.38,288.99738,0.099261284,1.6008611,3149.1084,0.16445723
1993-07-01,101595.09,287.54602,0.28050947,1.7629492,3137.5786,0.09134425
1993-08-01,101559.375,289.05298,0.8266387,1.6522623,3143.062,0.18211627
1993-09-01,101548.375,289.5733,1.2963428,1.4363465,3131.4316,0.10681641
1993-10-01,101442.31,291.25854,1.7010293,1.5341455,3139.8481,0.14597797
1993-11-01,101410.09,291.95236,2.208946,1.4076893,3138.0967,0.15813217
1993-12-01,101274.43,293.00064,2.511732,1.3373346,3135.6191,0.1472159
1994-01-01,101286.305,293.82172,2.6648502,1.3305113,3136.6643,0.14049028
1994-02-01,101240.586,294.04218,2.3596756,1.348403,3134.8042,0.117294915
1994-03-01,101287.87,293.97617,2.1242933,1.3652339,3144.768,0.093061894
1994-04-01,101335.45,292.7334,1.603375,1.635432,3145.181,0.17570156
1994-05-01,101390.21,290.5977,0.70430446,1.49912,3145.6914,0.13481852
1994-06-01,101519.03,288.81372,0.3383596,1.6355836,3147.0527,0.10453321
1994-07-01,101548.516,288.2221,0.36781645,1.8091954,3138.0942,0.14825068
1994-08-01,101577.234,288.66156,0.8757329,1.3829739,3142.187,0.15908493
1994-09-01,101412.44,290.77573,1.3414555,1.3162584,3148.6343,0.13560057
1994-10-01,101440.85,291.36346,1.838225,1.5737202,3136.1304,0.12475586
1994-11-01,101417.67,292.56848,2.1962078,1.5869112,3140.5151,0.121950954
1994-12-01,101279.92,293.61365,2.4878488,1.349616,3138.4893,0.2438323
1995-01-01,101290.44,294.4466,2.44539,1.1996579,3143.102,0.16460505
1995-02-01,101382.0,294.3753,2.3517146,1.7168549,3149.1182,0.10959841
1995-03-01,101297.24,293.7418,2.0494597,1.5808464,3142.7085,0.21941999
1995-04-01,101272.72,292.25778,1.3181027,1.6680315,3140.8035,0.10136019
1995-05-01,101447.08,290.43384,0.8292923,1.5758427,3147.5566,0.19575348
1995-06-01,101505.6,289.2052,0.33384848,1.5388459,3150.998,0.11944745
1995-07-01,101589.22,287.94308,0.26750612,2.1141157,3136.0986,0.08551512
1995-08-01,101599.06,288.10165,0.88873434,1.8343654,3140.6401,0.22774403
1995-09-01,101596.83,289.79913,1.4852852,1.8032819,3146.7998,0.11051398
1995-10-01,101478.06,290.89948,1.8315912,1.6457425,3136.548,0.18209243
1995-11-01,101460.875,291.93484,2.265735,1.6319444,3139.1301,0.18048635
1995-12-01,101440.05,293.0481,2.4353063,1.524138,3146.4944,0.1335806
1996-01-01,101318.03,293.49246,2.474846,1.4351335,3129.1475,0.08973819
1996-02-01,101251.68,293.9945,2.4148726,1.6151139,3137.7485,0.10586365
1996-03-01,101334.39,293.33597,2.0712204,1.7141259,3140.5847,0.101802714
1996-04-01,101392.49,291.68512,1.5962083,1.8501344,3138.5933,0.12743007
1996-05-01,101514.93,290.19043,0.7592354,1.8061628,3149.8372,0.13878505
1996-06-01,101613.98,287.72455,0.20010257,1.5312645,3137.4504,0.21329713
1996-07-01,101628.18,287.866,0.2783866,1.5494595,3150.22,0.21270771
1996-08-01,101632.72,288.38452,0.9728576,1.8072243,3139.2197,0.16455737
1996-09-01,101471.664,289.55792,1.2854629,1.7176133,3133.1208,0.13979694
1996-10-01,101496.22,290.756,1.8745816,1.866965,3135.022,0.14918628
1996-11-01,101348.97,291.79614,2.1654258,1.1831307,3131.965,0.2123949
1996-12-01,101273.336,293.09064,2.4024,1.3570461,3131.4268,0.14811908
1997-01-01,101388.88,293.66327,2.529512,1.2829008,3140.086,0.14455122
1997-02-01,101155.875,294.91086,2.371352,1.5033653,3136.7593,0.1290762
1997-03-01,101241.234,294.5197,2.0096545,1.5265639,3140.892,0.12487602
1997-04-01,101366.04,292.84308,1.4194732,1.6048034,3147.6475,0.08932332
1997-05-01,101293.125,291.62866,0.62734723,1.183737,3137.4197,0.17960703
1997-06-01,101448.09,289.78625,0.4190328,1.636948,3128.276,0.1304419
1997-07-01,101379.95,289.56378,0.4023142,1.6562047,3140.2117,0.19237638
1997-08-01,101451.97,290.65027,0.68201184,1.3377895,3142.069,0.21903087
1997-09-01,101407.01,291.56717,1.4807731,2.1624844,3143.1362,0.22190252
1997-10-01,101455.766,291.73242,1.8544132,1.9870529,3131.2292,0.09628451
1997-11-01,101402.0,293.0009,2.2163765,1.7447543,3140.775,0.15411797
1997-12-01,101189.07,294.8068,2.389662,1.5094304,3136.6292,0.0680392
1998-01-01,101037.84,295.8374,2.5921388,1.1966255,3141.2559,0.1767659
1998-02-01,101238.49,295.48093,2.3986845,1.5485497,3149.2292,0.09995156
1998-03-01,101160.734,294.84354,2.0173497,1.5056398,3143.478,0.12790026
1998-04-01,101333.62,292.67822,1.4168187,1.503062,3138.0518,0.12851255
1998-05-01,101481.766,290.76053,0.72314453,1.7244365,3149.4238,0.14928931
1998-06-01,101573.01,289.08893,0.3927617,1.2857816,3141.995,0.1098006
1998-07-01,101608.69,288.57776,0.5270374,2.038151,3141.6963,0.11780229
1998-08-01,101652.65,288.1268,0.8062062,2.1922033,3134.7793,0.112426184
1998-09-01,101635.46,289.1667,1.3101418,2.070599,3133.1782,0.09203474
1998-10-01,101507.12,290.73395,1.8642317,1.3305116,3135.2207,0.14408676
1998-11-01,101437.5,291.45074,2.2386675,1.4603032,3133.4768,0.19534528
1998-12-01,101406.45,292.34058,2.494748,1.0886672,3136.4998,0.16416538
1999-01-01,101329.14,292.81445,2.5141208,1.3571978,3130.7915,0.09409477
1999-02-01,101300.08,293.84998,2.5305734,1.2687993,3139.7249,0.12019423
